number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
6018,SpeTool,W06018,,SpeTool W06018 0.8125"",vee,0.8125,0.40625,0.98438,0,45,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
6019,SpeTool,W06019,,SpeTool W06019 1.0625"",vee,1.0625,0.53125,0.92188,0,60,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
5001,SpeTool,W05001,,SpeTool W05001 1"",end,1,0,0.3937,0,0,2,1,,0,,,,66.6667,200,18000,0.0787,,0,80,200,18000
5002,SpeTool,W05002,,SpeTool W05002 2"",end,2,0,0.47244,0,0,3,2.75,,0,,,,50,150,18000,0.0787,,0,80,150,18000
5003,SpeTool,W05003,,SpeTool W05003 2.5"",end,2.5,0,0.47244,0,0,4,1.83465,,0,,,,66.6667,200,18000,0.0787,,0,80,200,18000
5004,SpeTool,W05004,,SpeTool W05004 1.25"",end,1.25,0,0.3937,0,0,2,1,,0,,,,66.6667,200,18000,0.0787,,0,80,200,18000
5010,SpeTool,W05010,,SpeTool W05010 3"",end,3,0,0.47244,0,0,2,1.25,,0,,,,66.6667,200,18000,0.0787,,0,80,200,18000
5011,SpeTool,W05011,,SpeTool W05011 1"",end,1,0,0.47244,0,0,2,1.25,,0,,,,40,80,18000,0.25,,0,80,80,18000
5012,SpeTool,W05012,,SpeTool W05012 1.5"",end,1.5,0,0.47244,0,0,2,1,,0,,,,40,80,18000,0.25,,0,80,80,18000
8001,SpeTool,W08001,,SpeTool W08001 0.75"",ball,0.75,0.375,0.625,0,0,2,1,,0,,,,60,180,18000,0.125,,0,26.6667,180,18000
8002,SpeTool,W08002,,SpeTool W08002 0.75"",ball,0.75,0.375,0.625,0,0,2,1,,0,,,,60,180,18000,0.125,,0,26.6667,180,18000
8003,SpeTool,W08003,,SpeTool W08003 0.75"",ball,0.75,0.375,0.5,0,0,2,1,,0,,,,60,180,18000,0.125,,0,26.6667,180,18000
8004,SpeTool,W08004,,SpeTool W08004 0.75"",ball,0.75,0.375,0.5,0,0,2,1,,0,,,,60,180,18000,0.125,,0,26.6667,180,18000
8007,SpeTool,W08007,,SpeTool W08007 0.75"",ball,0.75,0.375,0.625,0,0,2,2,,0,,,,60,180,18000,0.125,,0,26.6667,180,18000
5014,SpeTool,W05014,,SpeTool W05014 3.25"",end,3.25,0,0.47244,0,0,2,1,,0,,,,125,250,12000,0.2,,0,80,250,12000
6003,SpeTool,W06003,,SpeTool W06003 0.75"",vee,0.75,0.53125,0.92188,0,60,1,1.5,,0,,,,60,180,18000,0.375,,0,6.2,180,18000
6004,SpeTool,W06004,,SpeTool W06004 0.75"",vee,0.75,0.53125,0.92188,0,60,1,1.5,,0,,,,60,180,18000,0.375,,0,6.2,180,18000
6005,SpeTool,W06005,,SpeTool W06005 0.375"",vee,0.375,0.53125,0.92188,0,90,1,1.5,,0,,,,60,180,18000,0.188,,0,6.2,180,18000
6017,SpeTool,W06017,,SpeTool W06017 0.25"",vee,0.25,0.53125,0.92188,0,45,1,1.5,,0,,,,120,360,18000,0.125,,0,10,360,18000
6021,SpeTool,W06021,,SpeTool W06021 0.25"",vee,0.25,0.53125,0.92188,0,30,1,1.5,,0,,,,120,360,18000,0.125,,0,10,360,18000
810,spetool,W08010,,SpeTool W08010 0.75"",end,0.75,0,0.5,0,0,2,1.5,,0,,,,15,55,15000,0.08,,0,20,55,15000
813,spetool,W08013,,SpeTool W08013 1.25"",end,1.25,0,0.5,0,0,2,1.5,,0,,,,10,45,13000,0.1,,0,20,45,13000
816,spetool,W08016,,SpeTool W08016 0.75"",end,0.75,0,0.5,0,0,2,1.5,,0,,,,15,55,15000,0.12,,0,20,55,15000
817,spetool,W08017,,SpeTool W08017 1.5"",end,1.5,0,0.5,0,0,2,1.5,,0,,,,8,40,12000,0.12,,0,20,40,12000
1001,spetool,W10001,,SpeTool W10001 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,600,1800,10000,2,,0.1,50,1800,10000
1002,spetool,W10002,,SpeTool W10002 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,700,2100,12000,2,,0.1,50,2100,12000
1003,spetool,W10003,,SpeTool W10003 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,800,2400,12000,2,,0,50,2400,12000
1004,spetool,W10004,,SpeTool W10004 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,500,1500,9000,2,,0,50,1500,9000
8501,spetool,W08501,,SpeTool W08501 25mm,end,25,0,12.7,0,0,2,38.1,,1,,,,1524,4572,18000,12.5,,0,26.7,4572,18000
8504,spetool,W08504,,SpeTool W08504 24mm,end,24,0,12.7,0,0,2,38.1,,1,,,,900,2200,18000,3,,0,25,2200,18000
8505,spetool,W08505,,SpeTool W08505 32mm,end,32,0,12.7,0,0,2,38.1,,1,,,,1200,2800,16000,6,,0,25,2800,18000
8506,spetool,W08506,,SpeTool W08506 24mm,end,24,0,12.7,0,0,2,38.1,,1,,,,1200,3500,20000,2.5,,0,35,3500,20000
