number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
8001,SpeTool,W08001,,SpeTool W08001 0.75"",ball,0.75,0.375,0.625,0,0,2,1,,0,,,,40,120,18000,0.125,,0,26.7,120,18000
8002,SpeTool,W08002,,SpeTool W08002 0.75"",ball,0.75,0.375,0.625,0,0,2,1,,0,,,,40,120,18000,0.125,,0,26.7,120,18000
8003,SpeTool,W08003,,SpeTool W08003 0.75"",ball,0.75,0.375,0.5,0,0,2,1,,0,,,,24,72,18000,0.125,,0,26.7,72,18000
8004,SpeTool,W08004,,SpeTool W08004 0.75"",ball,0.75,0.375,0.5,0,0,2,1,,0,,,,24,72,18000,0.125,,0,26.7,72,18000
8007,SpeTool,W08007,,SpeTool W08007 0.75"",ball,0.75,0.375,0.625,0,0,2,2,,0,,,,40,120,18000,0.125,,0,26.7,120,18000
4035,SpeTool,W04035,,SpeTool W04035 3/16"" DOWN CUT,end,0.1875,0,1.25,0,0,2,1.5,,0,,,,16,48,18000,0.1875,,0,40,48,18000
4036,SpeTool,W04036,,SpeTool W04036 1/32"" DOWN CUT,end,0.0313,0,1.25,0,0,2,1.5,,0,,,,6,18,18000,0.0313,,0,40,18,18000
4037,SpeTool,W04037,,SpeTool W04037 1/32"" UP CUT,end,0.0313,0,1.25,0,0,2,1.5,,0,,,,9,27,18000,0.0313,,0,40,27,18000
6003,SpeTool,W06003,,SpeTool W06003 0.75"",vee,0.75,0.25,0.25,0,60,2,1.5,,0,,,,24,72,18000,0.375,,0,6.2,72,18000
6004,SpeTool,W06004,,SpeTool W06004 0.75"",vee,0.75,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.375,,0,6.2,72,18000
6005,SpeTool,W06005,,SpeTool W06005 0.375"",vee,0.375,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.188,,0,6.2,72,18000
6011,SpeTool,W06011,,SpeTool W06011 0.375"",vee,0.375,0.25,0.25,0,60,2,1.5,,0,,,,48,144,18000,0.1875,,0,6.2,144,18000
6017,SpeTool,W06017,,SpeTool W06017 0.25"",vee,0.25,0.25,0.25,0,45,2,1.5,,0,,,,48,144,18000,0.125,,0,10,144,18000
6021,SpeTool,W06021,,SpeTool W06021 0.25"",vee,0.25,0.25,0.25,0,30,2,1.5,,0,,,,48,144,18000,0.125,,0,10,144,18000
8501,spetool,W08501,,SpeTool W08501 25mm,end,25,0,12.7,0,0,2,38.1,,1,,,,1016,3048,18000,12.5,,0,26.7,3048,18000
8504,spetool,W08504,,SpeTool W08504 24mm,end,24,0,12.7,0,0,2,38.1,,1,,,,900,2200,18000,3,,0,25,2200,18000
8505,spetool,W08505,,SpeTool W08505 32mm,end,32,0,12.7,0,0,2,38.1,,1,,,,900,2200,16000,6,,0,25,2200,18000
8506,spetool,W08506,,SpeTool W08506 24mm,end,24,0,12.7,0,0,2,38.1,,1,,,,1000,2500,18000,2.5,,0,35,2500,18000
810,spetool,W08010,,SpeTool W08010 0.75"",end,0.75,0,0.5,0,0,2,1.5,,0,,,,12,45,13000,0.08,,0,20,45,13000
813,spetool,W08013,,SpeTool W08013 1.25"",end,1.25,0,0.5,0,0,2,1.5,,0,,,,8,35,11000,0.1,,0,20,35,11000
816,spetool,W08016,,SpeTool W08016 0.75"",end,0.75,0,0.5,0,0,2,1.5,,0,,,,12,45,13000,0.12,,0,20,45,13000
817,spetool,W08017,,SpeTool W08017 1.5"",end,1.5,0,0.5,0,0,2,1.5,,0,,,,8,35,10000,0.12,,0,20,35,10000
1001,spetool,W10001,,SpeTool W10001 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,500,1500,8000,2,,0.1,50,1500,8000
1002,spetool,W10002,,SpeTool W10002 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,600,1800,10000,2,,0.1,50,1800,10000
1003,spetool,W10003,,SpeTool W10003 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,700,2100,10000,2,,0,50,2100,10000
1004,spetool,W10004,,SpeTool W10004 12.7mm,end,12.7,0,0.5,0,0,2,1.5,,0,,,,400,1200,7500,2,,0,50,1200,7500
